name,gender,country_code,country,nationality_long,disciplines,events,birth_date,hobbies,education,family,lang,coach
VERRIER Gabrielle,Female,FRA,France,France,['Hockey'],['Women'],1997-07-18,,,,French,National: Gael Foulard (FRA)
VERZURA Eve,Female,FRA,France,France,['Hockey'],['Women'],2002-04-02,,,,French,National: Gael Foulard (FRA)
MILAK Kristof,Male,HUN,Hungary,Hungary,['Swimming'],"[""Men's 100m Butterfly"", ""Men's 200m Butterfly""]",2000-02-20,Formula One,,,Hungarian,Club: Balazs Virth (HUN)
OLESK Peeter,Male,EST,Estonia,Estonia,['Shooting'],['25m Rapid Fire Pistol Men'],1993-04-22,"Every type of tech (guns, cars, computers)",Studied Electrical Engineering at Tallinn University of Technology (EST),"Wife, Merje. Father, Tonis. Brother, Taivo","English, Estonian",Personal: Matthias Hahn (GER)
JUERISSON Peeter,Male,EST,Estonia,Estonia,['Shooting'],['Skeet Men'],2002-03-16,"Hunting, fishing",,"Partner, Brigita. Father, Alvar. Mother, Katrin. Sister, Laura","English, Estonian",National: Peeter Pakk (EST)
PAULO Eliane,Female,ANG,Angola,Angola,['Handball'],['Women'],1999-03-09,,,,Portuguese,National: Carlos Viver (ESP)
QUIZELETE Marilia,Female,ANG,Angola,Angola,['Handball'],['Women'],1997-06-03,,"Studied at the Methodist University of Angola, Luanda (ANG)",,Portuguese,National: Carlos Viver (ESP)
MOLNAR Dora,Female,HUN,Hungary,Hungary,['Swimming'],"[""Women's 200m Backstroke""]",2006-06-29,"Reading, baking, coffee",,,Hungarian,Club: Tamas Horvath (HUN)
GABRIEL Chelcia,Female,ANG,Angola,Angola,['Handball'],['Women'],2000-09-24,,,,Portuguese,National: Vivaldo Eduardo (ANG).<br>Club: Jose Pereira (ANG)
SECK Combe,Female,SEN,Senegal,Senegal,['Canoe Sprint'],"[""Women's Canoe Single 200m""]",1995-06-27,,,,French,
ROSARIO Dolores,Female,ANG,Angola,Angola,['Handball'],['Women'],2003-04-01,,,,Portuguese,National: Vivaldo Eduardo (ANG).<br>Club: Filipe Cruz (ANG)
NEMETH Nandor,Male,HUN,Hungary,Hungary,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 200m Freestyle"", ""Men's 4 x 100m Freestyle Relay""]",1999-11-19,,,,"English, Hungarian",Club: Zsolt Plaganyi (HUN)
MARIO Liliane,Female,ANG,Angola,Angola,['Handball'],['Women'],2004-11-16,,,,Portuguese,National: Vivaldo Eduardo (ANG).<br>Club: Filipe Cruz (ANG)
KUMRIC Zlatko,Male,CRO,Croatia,Croatia,['Judo'],['Men -100 kg'],1994-03-07,"Civil engineering, reading books",,"Two children, Domagoj and Hrvoje, and expecting a third. Brother, Marko","Croatian, English",Tomislav Marijanovic (CRO)
ANDRES Lara,Female,FRA,France,France,['Water Polo'],['Women'],2006-07-04,,,,French,National: Theodoros Lorantos (GRE)
BATTU Aurelie,Female,FRA,France,France,['Water Polo'],['Women'],1997-09-18,,"Studied at National School Physiotherapy And Rehabilitation (Saint-Maurice, FRA)","Father, Serge",French,National: Theodoros Lorantos (GRE)
BOULOUKBACHI Camelia,Female,FRA,France,France,['Water Polo'],['Women'],2003-09-09,,Studies Psychology at University of Paris 8,,French,National: Theodoros Lorantos (GRE)
DAULE Audrey,Female,FRA,France,France,['Water Polo'],['Women'],1993-05-06,,Studied at Toulouse 1 University Capitole (FRA),,French,National: Theodoros Lorantos (GRE)
DHALLUIN Juliette,Female,FRA,France,France,['Water Polo'],['Women'],2004-11-14,,"Studies Biochemistry at Arizona State University (Tempe, USA)","Brothers, Paul and Pierre",French,National: Theodoros Lorantos (GRE)
